EventNumber Channel hitT hitX hitY hitZ hitQ hitPE
29 450 26 0.930484 0.166217 0.567959 0.00140563 1.19934
29 454 8 1.05467 -1.14426 -0.266429 0.00071289 0.616687
31 384 8 -0.601978 0.606756 -0.985573 0.0010584 0.884211
31 397 4 -1.12599 0.602282 0.263394 0.00246374 2.06171
31 398 2 -1.12268 0.602692 -0.275456 0.0027515 2.32194
31 403 6 -0.986931 0.602692 -0.597985 0.00143191 1.66695
31 404 2 -0.938199 0.15471 0.554067 0.00130986 0.975323
31 440 14 0.276007 0.156461 -1.06118 0.0013217 1.14235
32 341 12 -0.121207 -1.55989 0.438236 0.00123709 0.925276
32 358 16 -0.685076 1.49826 -0.463513 0.000657892 0.945247
32 366 18 0.677824 1.49826 0.474055 0.000196868 0.230525
32 368 12 -0.00571435 1.49826 -0.291243 9.30927e-05 0.0601763
32 378 10 1.12208 -0.256895 -0.275446 0.00113114 0.968441
32 392 2 0.595539 -0.685606 -0.995765 0.00180318 1.60568
32 394 6 -0.988155 -0.258641 -0.592946 0.00138576 1.79039
32 401 10 -1.12268 -0.263086 -0.275456 0.000622609 0.557894
32 410 12 -0.273005 0.60204 1.12638 0.000791359 0.647593
32 436 2 -0.274461 -1.14543 -1.04804 0.00347541 2.95779
33 351 4 0.67025 -1.55989 -0.355213 0.00149599 1.11976
33 392 2 0.595539 -0.685606 -0.995765 0.0011682 1.04025
33 433 0 0.550774 -1.13919 -0.943521 0.00365977 3.16589
33 454 8 1.05467 -1.14426 -0.266429 0.000998575 0.863819
33 458 4 0.940467 -0.705865 -0.553142 0.00229425 1.84426
34 348 4 0.593255 -1.55989 0.381869 0.000621755 0.495422
34 378 16 1.12208 -0.256895 -0.275446 7.22462e-05 0.0618547
34 379 8 1.12145 -0.680034 -0.27666 0.00135062 1.09807
34 396 14 -1.12701 -0.269387 0.265664 0.00177497 1.55835
34 429 10 -0.273348 -1.1537 1.05465 0.00144941 1.26255
35 337 2 0.191253 -1.55989 0.779463 0.0010657 0.710468
35 339 0 -0.319072 -1.55989 0.636598 0.00451422 4.045
35 340 2 0.389117 -1.55656 0.5811 0.00128862 1.05194
35 396 6 -1.12701 -0.269387 0.265664 0.00120507 1.058
35 419 14 -1.04673 -0.712828 -0.284475 0.000788144 0.658433
