eventNumber true_vertex_X true_vertex_Y true_vertex_Z true_t0 true_dir_X true_dir_Y true_dir_Z true_energy true_track_length
133 63.6075 -9.07633 38.9347 0 0.288239 -0.597426 -0.748332 3.011 0.00915632
134 -27.8512 1.59986 -130.24 0 -0.227889 0.571702 0.788177 3.011 0.00985836
135 38.7764 90.7131 66.3287 0 -0.922436 -0.254319 0.290574 3.011 0.00644404
136 81.04 91.7435 105.878 0 -0.933083 0.341345 -0.113316 3.011 0.00789221
137 -59.0546 -62.8037 94.5228 0 0.907252 -0.364214 0.210337 3.011 0.108075
138 -98.721 -153.359 -59.7118 0 0.414482 -0.759084 0.501991 3.011 0.00883655
139 123.088 63.6553 28.4626 0 0.884813 -0.153648 -0.439883 3.011 0.00733875
140 112.89 -169.982 -36.1861 0 -0.226271 -0.972774 -0.0501219 3.011 0.0107988
141 -108.889 -33.1999 39.3478 0 -0.991477 0.112769 0.0652356 3.011 0.00948243
142 45.6566 50.2714 112.418 0 0.53777 0.767141 -0.349711 3.011 0.00787555
143 -5.37209 -136.469 45.0622 0 0.967489 0.0987101 0.232856 3.011 0.00533345
144 -129.851 163.61 27.1729 0 0.612714 0.50361 -0.609064 3.011 0.00749851
145 8.14898 77.3069 -50.0498 0 -0.0347269 0.671522 0.740171 3.011 0.00938849
146 -146.194 145.892 -1.44079 0 -0.273048 0.324109 -0.905758 3.011 0.0100349
147 -68.5935 66.3759 -40.8342 0 0.630585 -0.357027 0.689126 3.011 0.00893279
148 -144.546 -21.196 28.3703 0 0.82644 0.0214237 -0.562617 3.011 0.0115434
149 -56.5919 192.439 -24.5792 0 0.982454 -0.159397 0.0968349 3.011 0.00988443
150 42.8957 155.777 109.438 0 -0.453865 -0.59669 -0.661792 3.011 0.00065967
151 -74.4159 -12.5066 -118.937 0 -0.0836994 0.200165 -0.976181 3.011 0.00978256
152 -102.373 48.2092 90.9739 0 0.245038 0.462499 0.852086 3.011 0.00897324
153 -53.9312 88.2483 107.248 0 0.924936 0.203956 0.320774 3.011 0.0103912
154 83.3268 -78.2136 -108.813 0 -0.622949 -0.643854 -0.444282 3.011 0.00833343
155 -129.582 50.1741 23.022 0 0.523365 -0.648732 -0.552481 3.011 0.00986008
156 14.6374 -144.305 4.8687 0 -0.138157 -0.798285 -0.58622 3.011 0.00854266
157 77.7352 5.79569 -2.52931 0 -0.414324 0.0516002 0.908665 3.011 0.00855255
158 -74.99 167.991 38.6074 0 -0.840043 -0.284378 0.462014 3.011 0.0103141
159 -39.2872 124.636 10.6359 0 0.905816 0.345207 0.245622 3.011 0.00865309
160 -25.8279 114.732 68.9317 0 -0.95823 -0.220304 0.182377 3.011 0.00516505
161 30.1334 75.3183 115.293 0 -0.0270018 -0.55957 -0.828343 3.011 0.00874306
162 71.5078 189.561 4.33544 0 -0.809586 0.402152 -0.427603 3.011 0.00903353
163 -33.7074 104.668 0.000265503 0 0.457677 -0.885288 -0.0824474 3.011 0.0113981
164 69.6982 -33.2023 -67.1253 0 -0.926218 -0.171696 -0.335619 3.011 0.00896879
165 -3.55142 -23.7769 61.7484 0 0.80499 -0.428061 -0.410798 3.011 0.00871036
166 -10.1843 72.5491 -113.346 0 -0.686572 -0.673165 -0.274712 3.011 0.00350545
167 15.9573 32.2317 70.8064 0 0.746475 -0.464473 -0.476487 3.011 0.00876302
168 41.2768 -99.1252 61.9208 0 0.666058 -0.682634 0.300629 3.011 0.00947981
169 -4.76214 37.8511 94.6573 0 -0.268201 -0.476125 0.83748 3.011 0.008257
170 -95.0142 -82.9165 64.3095 0 0.711209 0.00381474 0.70297 3.011 0.0109215
171 -92.1703 134.043 -85.5596 0 0.838592 -0.537885 -0.0862721 3.011 0.00618364
172 -110.899 23.7804 99.5476 0 -0.668642 0.723141 0.173162 3.011 0.00983252
173 122.792 -45.024 79.382 0 0.756046 0.387578 0.527426 3.011 0.00985994
174 61.6115 162.696 11.2749 0 0.970461 -0.179286 -0.161434 3.011 0.00923605
175 -64.6003 -148.977 -65.2611 0 -0.823068 -0.556849 -0.111704 3.011 0.00838253
176 -107.496 48.3728 -18.995 0 0.549746 -0.82963 0.0974344 3.011 0.0106309
177 -104.741 47.9608 -106.464 0 0.722347 0.155344 0.673856 3.011 0.0103114
178 38.846 -166.371 -96.0379 0 -0.572124 0.704252 -0.420361 3.011 0.00372593
179 -47.6297 123.334 -136.158 0 -0.236623 -0.925032 -0.297195 3.011 0.0087685
180 6.04484 170.509 50.3794 0 -0.155293 -0.185882 -0.970223 3.011 0.00775831
181 -105.084 -153.132 30.5553 0 0.255313 -0.910678 -0.32478 3.011 0.00781635
182 3.65401 72.4518 74.7643 0 0.783869 -0.598729 0.164538 3.011 0.00572963
183 -107.08 50.0441 -49.2481 0 -0.659543 -0.579064 -0.479257 3.011 0.00438237
184 -61.5143 160.093 -116.068 0 -0.225168 0.351418 -0.908738 3.011 0.00821383
185 27.7818 32.787 -91.8557 0 -0.332884 0.183715 -0.924899 3.011 0.00721036
186 -108.293 110.165 17.1047 0 0.958399 -0.284768 0.0194658 3.011 0.00923001
187 -2.72203 -43.044 -110.591 0 -0.76351 0.319992 0.560943 3.011 0.00740304
188 -88.8717 105.749 -37.6377 0 -0.420244 -0.611588 -0.67034 3.011 0.010871
189 80.6565 -37.623 74.2771 0 -0.441531 0.738158 0.510072 3.011 0.00911262
190 -79.5862 95.6264 -99.3485 0 0.923769 0.299366 -0.238813 3.011 0.00970276
191 109.653 59.7368 24.7659 0 -0.629712 0.605821 0.486255 3.011 0.100271
192 35.5624 -117.205 -94.8076 0 0.715328 -0.293976 0.633943 3.011 0.0117201
193 57.6418 -71.5253 -116.692 0 0.0376939 -0.980774 -0.191471 3.011 0.0101248
194 55.4285 -157.399 -38.3122 0 0.0037098 -0.221101 0.975244 3.011 0.0100312
195 -67.0552 171.977 -111.675 0 -0.259177 -0.777719 0.572696 3.011 0.0078689
196 -21.4128 -71.7196 -52.4694 0 0.744627 -0.540615 0.391491 3.011 0.00780985
197 -12.2792 187.767 -103.64 0 -0.344032 -0.880889 0.325079 3.011 0.0076402
198 -74.8503 75.2631 0.804022 0 -0.784999 0.312407 0.534956 3.011 0.0096552
199 -52.9223 -84.6241 -5.50221 0 -0.334567 -0.891478 0.305501 3.011 0.00913549
200 -47.8593 -169.883 95.5407 0 0.306338 0.113093 0.945181 3.011 0.0103897
201 -135.632 -153.842 46.198 0 0.0325009 0.132133 0.990699 3.011 0.00919495
202 65.3072 65.3633 23.5085 0 -0.147808 -0.967738 0.204049 3.011 0.00853969
