EventNumber Channel hitT hitX hitY hitZ hitQ hitPE
16 397 8 -1.12599 0.602282 0.263394 0.0045896 3.84067
16 402 4 -0.989842 -0.264831 0.590253 0.00176877 1.94157
16 402 34 -0.989842 -0.264831 0.590253 0.000539133 0.591803
16 403 10 -0.986931 0.602692 -0.597985 0.00221604 2.57979
16 408 12 -0.59746 -0.716475 0.985545 0.00165347 1.5914
16 410 14 -0.273005 0.60204 1.12638 0.00108246 0.885811
16 417 10 -1.05665 -1.14088 0.259726 0.000746531 0.653705
16 418 10 -0.941372 -1.14774 -0.540199 0.000998895 0.831719
16 419 12 -1.04673 -0.712828 -0.284475 0.00132961 1.11078
16 420 6 -0.938199 -0.715151 0.554067 0.0026909 2.50549
16 421 8 -0.941372 0.158238 -0.540199 0.00238123 2.00272
16 422 10 -0.941372 1.00794 -0.540199 0.00134355 1.03589
16 424 8 -1.05665 0.15471 0.259726 0.00139071 1.12882
16 432 8 -0.547101 -0.704891 -0.948009 0.00132751 1.01725
16 433 0 0.550774 -1.13919 -0.943521 0.00259225 2.24243
16 434 2 0.27818 -1.14058 -1.05805 0.00179651 1.58983
16 435 6 -0.274461 0.157547 -1.04804 0.00192848 1.53419
16 437 20 0.276007 1.00917 -1.06118 0.00201205 1.56094
16 439 0 0.273834 -0.712012 -1.0643 0.00301815 2.48203
16 447 24 -0.267873 -0.711104 1.05881 0.000883799 0.729809
16 449 26 1.04523 -0.711149 0.279606 0.00119313 0.962975
16 452 14 0.930484 -1.14666 0.567959 0.00132396 0.966396
16 454 4 1.05467 -1.14426 -0.266429 0.000750287 0.649037
16 458 4 0.940467 -0.705865 -0.553142 0.00148494 1.19368
17 332 4 -0.643413 -1.55989 0.319517 0.00129217 1.08586
17 335 0 -0.445549 -1.55989 0.121155 0.00142431 1.09059
17 361 14 0.483502 1.50132 -0.677697 0.000749514 0.803338
17 369 18 0.150493 1.49826 0.813342 0.000514863 0.641974
17 390 14 0.598148 -0.265697 -0.99431 0.00122573 1.18657
17 399 2 -0.985707 -0.68356 -0.603023 0.00324627 2.8253
17 405 14 0.553883 0.154889 0.93738 0.00100944 0.84543
17 406 12 0.277282 -0.254911 1.1262 0.00134545 0.957616
17 414 16 0.266799 -0.692491 1.12485 0.00128924 1.16674
17 427 2 -1.05098 -1.14774 -0.277048 0.000707828 0.609146
17 432 10 -0.547101 -0.704891 -0.948009 0.00114603 0.878182
17 434 6 0.27818 -1.14058 -1.05805 0.00202717 1.79396
17 435 14 -0.274461 0.157547 -1.04804 0.00159164 1.26622
17 436 4 -0.274461 -1.14543 -1.04804 0.00195206 1.66133
17 439 8 0.273834 -0.712012 -1.0643 0.00208979 1.71858
17 450 12 0.930484 0.166217 0.567959 0.00164581 1.40427
18 338 2 0.0766569 -1.55989 0.239873 0.00190031 1.51782
18 348 4 0.593255 -1.55989 0.381869 0.00101673 0.81014
18 350 2 0.791119 -1.55087 0.183507 0.00371704 3.09496
18 356 16 -0.679305 1.50259 0.476572 0.000551619 0.555508
18 366 14 0.677824 1.49826 0.474055 0.00106413 1.24605
18 369 12 0.150493 1.49826 0.813342 0.000436439 0.544188
18 371 12 -0.296992 1.49826 -0.000172272 0.00317227 2.05858
18 375 6 1.11571 0.603541 0.278947 0.000736396 0.616231
18 376 2 1.11571 -0.268439 0.278947 0.000662081 0.570759
18 379 0 1.12145 -0.680034 -0.27666 0.00158096 1.28533
18 396 18 -1.12701 -0.269387 0.265664 0.000869394 0.763296
18 402 18 -0.989842 -0.264831 0.590253 0.000884888 0.971337
18 410 14 -0.273005 0.60204 1.12638 0.00135643 1.11001
18 412 12 -0.273005 -0.264034 1.12638 0.000663968 0.563162
18 429 8 -0.273348 -1.1537 1.05465 0.000652962 0.568782
18 434 12 0.27818 -1.14058 -1.05805 0.0016926 1.49788
18 449 4 1.04523 -0.711149 0.279606 0.00247212 1.99525
18 453 0 1.04736 -1.14666 0.287574 0.00291052 2.5134
20 336 16 -0.57756 -1.55118 -0.371039 0.00066931 0.575008
20 337 2 0.191253 -1.55989 0.779463 0.00522345 3.4823
20 338 2 0.0766569 -1.55989 0.239873 0.00371745 2.96921
20 339 2 -0.319072 -1.55989 0.636598 0.00313649 2.81047
20 340 4 0.389117 -1.55656 0.5811 0.00390432 3.1872
20 340 24 0.389117 -1.55656 0.5811 0.00186309 1.52089
20 341 2 -0.121207 -1.55989 0.438236 0.00165653 1.23899
20 347 4 0.274521 -1.55989 0.0415112 0.000339892 0.249554
20 348 8 0.593255 -1.55989 0.381869 0.00193573 1.54242
20 353 28 -0.813383 1.49826 0.150272 0.000422704 1.29664
20 355 20 -0.47802 1.50184 0.683966 0.00158065 1.0284
20 357 14 -0.81581 1.49826 -0.136478 0.0023764 1.42727
20 358 18 -0.685076 1.49826 -0.463513 0.00128822 1.85089
20 361 20 0.483502 1.50132 -0.677697 0.000882084 0.945428
20 362 14 0.814633 1.49826 -0.143337 0.000802151 0.702409
20 365 14 0.813602 1.49826 0.149082 0.0015685 1.21307
20 366 14 0.677824 1.49826 0.474055 0.000451524 0.528717
20 367 18 0.683524 1.50021 -0.470894 0.00163535 1.12241
20 374 6 0.980274 -0.683454 0.609862 0.00179883 1.54805
20 377 4 0.980773 -0.260593 0.610842 0.000307037 0.280399
20 392 8 0.595539 -0.685606 -0.995765 0.00102745 0.914915
20 395 8 -1.12497 -0.692034 0.261124 0.00177753 1.54032
20 399 10 -0.985707 -0.68356 -0.603023 0.000484117 0.421338
20 401 8 -1.12268 -0.263086 -0.275456 0.00233599 2.09318
20 402 12 -0.989842 -0.264831 0.590253 0.00144028 1.58099
20 405 10 0.553883 0.154889 0.93738 0.00207445 1.7374
20 406 6 0.277282 -0.254911 1.1262 0.000826625 0.588346
20 414 4 0.266799 -0.692491 1.12485 0.00264917 2.39744
20 414 22 0.266799 -0.692491 1.12485 0.00186729 1.68985
20 417 8 -1.05665 -1.14088 0.259726 0.000732343 0.641281
20 417 22 -1.05665 -1.14088 0.259726 0.000825524 0.722876
20 418 6 -0.941372 -1.14774 -0.540199 0.000596335 0.496532
20 427 8 -1.05098 -1.14774 -0.277048 0.000492503 0.42384
20 432 10 -0.547101 -0.704891 -0.948009 0.00183559 1.40659
20 433 12 0.550774 -1.13919 -0.943521 0.00204115 1.7657
20 441 8 0.550774 0.156461 -0.943521 0.00237556 1.98958
20 442 12 -0.54913 1.01282 -0.929323 0.00134548 1.02008
20 447 2 -0.267873 -0.711104 1.05881 0.00114487 0.945395
20 451 22 1.04949 0.158655 0.295542 0.00106155 0.857472
20 452 6 0.930484 -1.14666 0.567959 0.00291353 2.12666
20 453 8 1.04736 -1.14666 0.287574 0.00123576 1.06715
20 454 14 1.05467 -1.14426 -0.266429 0.001617 1.39879
20 458 6 0.940467 -0.705865 -0.553142 0.000918237 0.738133
21 348 48 0.593255 -1.55989 0.381869 0.000649838 0.517799
21 353 16 -0.813383 1.49826 0.150272 0.000339066 1.04008
21 357 16 -0.81581 1.49826 -0.136478 0.00175602 1.05467
21 366 28 0.677824 1.49826 0.474055 0.0014207 1.66358
21 367 26 0.683524 1.50021 -0.470894 0.000537086 0.368625
21 368 12 -0.00571435 1.49826 -0.291243 0.00161054 1.04107
21 378 14 1.12208 -0.256895 -0.275446 0.00180113 1.54206
21 382 12 0.940467 0.15453 -0.553142 0.00284367 1.93053
21 387 26 0.27232 -0.255616 -1.12871 0.00141415 1.08697
21 390 14 0.598148 -0.265697 -0.99431 0.000805177 0.779455
21 396 4 -1.12701 -0.269387 0.265664 0.000890041 0.781423
21 406 6 0.277282 -0.254911 1.1262 0.00335514 2.388
21 408 2 -0.59746 -0.716475 0.985545 0.00406949 3.91674
21 409 0 -0.587648 -0.267541 0.99154 0.00432737 3.81266
21 412 8 -0.273005 -0.264034 1.12638 0.00140082 1.18814
21 412 18 -0.273005 -0.264034 1.12638 0.00106282 0.90146
21 419 12 -1.04673 -0.712828 -0.284475 0.00135257 1.12997
21 420 4 -0.938199 -0.715151 0.554067 0.00272285 2.53524
21 429 0 -0.273348 -1.1537 1.05465 0.00552679 4.81427
21 433 16 0.550774 -1.13919 -0.943521 0.00148038 1.2806
21 447 8 -0.267873 -0.711104 1.05881 0.00106723 0.88128
21 449 8 1.04523 -0.711149 0.279606 0.00145153 1.17153
23 338 14 0.0766569 -1.55989 0.239873 0.00137164 1.09556
23 355 10 -0.47802 1.50184 0.683966 0.00199695 1.29925
23 357 2 -0.81581 1.49826 -0.136478 0.00611747 3.67415
23 358 6 -0.685076 1.49826 -0.463513 0.00120843 1.73625
23 359 2 -0.151149 1.49826 -0.81322 0.000250114 1.19102
23 360 4 -0.468627 1.50284 -0.666452 0.00387546 2.99495
23 368 6 -0.00571435 1.49826 -0.291243 0.0027218 1.75941
23 370 12 -0.0268918 1.49826 0.300221 0.000856918 0.72436
23 377 14 0.980773 -0.260593 0.610842 0.00134445 1.22781
23 381 36 0.987308 -0.265603 -0.6027 0.00138938 1.17744
23 407 16 0.602362 -0.257622 0.984375 0.0020192 1.84233
23 422 0 -0.941372 1.00794 -0.540199 0.00115461 0.890218
23 422 12 -0.941372 1.00794 -0.540199 0.00107226 0.826722
23 425 10 -1.05524 0.151641 -0.26962 0.00111024 0.866021
23 433 22 0.550774 -1.13919 -0.943521 0.00104595 0.904804
23 438 4 0.550774 1.00917 -0.943521 0.0011889 0.953406
23 442 4 -0.54913 1.01282 -0.929323 0.00144567 1.09603
23 443 6 -0.274461 1.01245 -1.04804 0.000956037 0.728686
23 450 14 0.930484 0.166217 0.567959 0.00169319 1.4447
23 452 16 0.930484 -1.14666 0.567959 0.00190243 1.38863
23 453 16 1.04736 -1.14666 0.287574 0.000982416 0.848373
