eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits clusterTime
512 0.290224 244.716 25.4527 0.174457 73 11.4521
514 0.268723 214.749 28.3314 0.186735 73 10.5753
515 0.0478631 41.388 4.49047 0.207596 30 11
516 0.0770997 61.5102 6.73437 0.202233 36 8.66667
517 0.101022 85.2946 9.89179 0.169338 53 11.2453
519 0.156714 134.031 28.3647 0.250783 58 10.2069
521 0.313168 261.282 10.409 0.0847795 126 12.9048
522 0.103714 84.9839 22.0388 0.298946 41 9.5122
524 0.149836 122.98 21.1296 0.232755 54 11.1111
525 0.142834 120.143 20.2822 0.220279 55 10.6182
526 0.300259 239.583 35.5955 0.243532 65 11.8154
527 0.180812 156.564 19.3747 0.202955 58 9.96552
529 0.132366 114.57 24.7714 0.256199 57 12.8421
530 0.023585 20.0757 3.64218 0.298715 13 8.46154
531 0.117511 98.0133 10.9057 0.164882 63 11.9683
533 0.076702 63.5908 4.87194 0.16312 42 10.1429
534 0.0825879 66.4496 5.1421 0.173127 43 10.6047
535 0.201426 167.638 19.0637 0.1683 68 11.0882
539 0.0269127 21.0946 3.91541 0.29726 18 8.44444
540 0.0131188 10.653 1.38539 0.302315 12 12.6667
541 0.10931 89.8006 11.4548 0.190427 45 12.4
542 0.0177373 13.9075 2.32236 0.300061 12 9.83333
543 0.105657 86.9417 6.38196 0.144769 57 11.3333
544 0.067127 54.895 6.79295 0.183712 44 10.5455
545 0.0550023 43.9515 8.81174 0.2631 29 13.4483
546 0.277677 238.52 48.4943 0.27064 63 9.87302
547 0.205323 173.608 12.7141 0.141503 79 12.2025
549 0.18501 152.941 20.6727 0.172397 60 11.9
550 0.139407 112.28 29.4653 0.280042 54 10.8148
551 0.0960615 82.4213 12.8009 0.232681 42 11.1429
552 0.0698228 57.392 7.12683 0.209602 38 12.7368
555 0.272123 223.094 21.5161 0.151038 84 11.1429
558 0.271764 230.15 20.5405 0.175835 72 11.1944
559 0.220515 185.042 12.9611 0.130494 86 11.5814
561 0.0108742 9.00379 1.74963 0.367973 9 29.7778
562 0.0735713 62.0029 12.6899 0.242117 40 13.25
