eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits
462 0.205741 172.717 11.7428 0.151719 64
463 0.151944 124.573 9.10665 0.15527 56
464 0.0229692 18.5588 2.02329 0.264839 14
465 0.104452 85.5951 6.11775 0.165342 49
468 0.0632109 54.0479 6.37895 0.196716 34
470 0.178595 149.438 11.0452 0.162748 56
471 0.168484 142.87 20.2334 0.179968 65
472 0.0455948 39.4301 4.5881 0.212039 29
475 0.132703 111.864 9.19491 0.149382 63
476 0.153995 130.453 13.4758 0.183697 52
477 0.0348457 28.4215 4.01376 0.259488 19
479 0.0437401 34.8626 4.6608 0.230406 25
480 0.0910026 74.8699 11.4729 0.220109 34
481 0.176687 149.346 7.59081 0.120389 75
482 0.116117 92.468 14.5652 0.209733 47
484 0.154928 130.898 7.68284 0.121249 76
486 0.0333748 29.8861 3.14193 0.227847 25
487 0.147432 120.586 8.23401 0.149816 60
488 0.0598479 48.7842 11.7441 0.340122 25
490 0.155613 129.388 8.79411 0.150196 58
491 0.0182441 16.6578 4.62123 0.383847 10
492 0.158009 133.607 13.1299 0.15724 68
493 0.130543 114.582 14.0879 0.1776 58
494 0.133657 110.031 18.6472 0.241638 45
496 0.0762747 64.4872 12.4357 0.276045 27
497 0.0295679 24.7986 6.68674 0.337406 13
499 0.117222 99.0968 18.0665 0.214767 54
500 0.124708 103.682 7.83537 0.136212 64
502 0.0392704 33.7687 2.34842 0.200633 32
504 0.107138 88.7368 11.9493 0.190338 48
505 0.143377 122.863 6.06911 0.124186 70
507 0.110879 93.0908 10.633 0.175133 56
508 0.163537 137.94 5.88584 0.112273 75
509 0.153287 128.066 7.59826 0.139914 58
511 0.101169 85.5413 8.32408 0.170921 52
512 0.0480895 42.6785 4.60999 0.206386 30
513 0.177738 151.598 17.9547 0.176866 67
514 0.156269 130.951 14.7203 0.194224 52
515 0.0352608 29.3027 2.23199 0.195454 26
516 0.193319 157.355 29.0915 0.251939 54
517 0.130696 110.875 9.12366 0.153886 57
518 0.0362827 34.0836 5.13257 0.24265 24
521 0.0151424 12.52 3.0476 0.346127 11
522 0.0169867 13.3169 2.24212 0.286012 14
524 0.149631 123.956 15.1803 0.193187 53
525 0.104221 89.1716 8.02004 0.15297 59
526 0.0612873 58.2476 8.83617 0.263401 31
527 0.171225 140.788 5.9344 0.127801 78
