eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits
600 0.0586488 51.3948 7.98029 0.264862 30
601 0.201254 169.501 16.3245 0.16088 72
603 0.219354 179.532 20.5174 0.218354 62
606 0.292699 244.843 18.1923 0.125392 103
607 0.389426 324.443 28.3467 0.128614 112
608 0.145252 121.314 25.5635 0.276033 50
609 0.139339 113.986 12.1775 0.147958 68
610 0.203458 175.757 27.3312 0.247612 61
611 0.170954 143.095 7.03993 0.110433 88
612 0.0326865 28.238 5.54317 0.291097 18
613 0.3051 258.134 22.6607 0.17044 86
614 0.132198 103.63 11.4352 0.20232 49
615 0.258319 220.098 18.4675 0.171074 82
616 0.0975588 83.4953 8.93433 0.176959 51
618 0.180153 152.493 19.7662 0.168569 69
619 0.119746 99.1433 22.6908 0.257544 55
620 0.00744096 6.70943 1.41727 0.406583 6
622 0.242118 213.982 15.483 0.16334 79
623 0.108496 89.1534 13.4566 0.195901 51
626 0.0690748 59.9393 15.8029 0.288424 35
628 0.189479 156.51 23.0421 0.199915 60
630 0.11526 100.766 9.61066 0.178123 56
633 0.387866 317.024 96.1771 0.314187 96
634 0.327785 274.769 14.4268 0.101507 116
635 0.308081 259.325 34.9012 0.178186 83
636 0.0941979 80.3666 7.15965 0.157556 52
637 0.284518 250.022 16.6577 0.135952 97
641 0.0990793 83.8866 20.2397 0.269929 44
642 0.222608 186.897 13.4678 0.147047 82
643 0.0931271 78.8566 13.526 0.251577 39
644 0.0670905 55.6132 10.1442 0.256142 38
645 0.0208054 17.3964 2.31444 0.267897 14
646 0.0304115 23.3695 3.75042 0.266137 18
647 0.0915773 77.6444 7.69066 0.191845 46
648 0.211434 206.409 37.4404 0.2267 80
652 0.116065 98.523 17.4693 0.216689 48
653 0.280017 242.79 51.5078 0.232174 85
654 0.256102 208.303 33.9063 0.246795 63
655 0.284561 228.239 29.8839 0.197077 78
656 0.01221 10.9493 2.49395 0.355855 10
657 0.29098 239.868 23.9249 0.161204 82
658 0.120044 102.712 19.3926 0.230291 49
659 0.209466 174.398 11.0174 0.145419 82
660 0.03627 28.7595 5.28187 0.259398 23
661 0.0431854 38.2367 3.58983 0.209337 30
664 0.161672 144.784 13.7011 0.17657 69
665 0.217831 183.066 14.0339 0.168517 73
666 0.0258218 20.8826 3.28272 0.273402 18
668 0.0204764 16.1366 2.20607 0.264749 15
669 0.273291 236.211 32.7419 0.187955 84
671 0.17345 147.852 24.1623 0.218311 52
675 0.155089 132.987 10.6985 0.143264 74
676 0.210185 175.828 26.0432 0.225722 64
677 0.00549127 4.47482 1.37071 0.560555 5
678 0.0775141 63.8605 4.12464 0.158956 45
680 0.353715 293.502 15.8017 0.124523 108
682 0.199932 160.412 24.5475 0.196576 71
684 0.291627 246.366 14.8128 0.122979 97
685 0.0316477 26.896 2.41137 0.222381 22
686 0.129728 106.536 9.59811 0.143407 63
687 0.0935796 78.7448 7.50667 0.161941 50
689 0.176265 144.689 29.557 0.242231 56
690 0.169817 145.581 21.0718 0.199221 69
692 0.185631 152.272 18.42 0.153619 77
693 0.00500633 5.31383 2.05869 0.551421 5
697 0.0467536 43.6261 12.7466 0.320468 29
698 0.169047 138.572 27.339 0.227757 63
699 0.247023 207.094 11.0874 0.123116 86
701 0.162654 130.933 13.7305 0.169128 65
702 0.339397 274.14 29.6482 0.164547 88
706 0.321055 268.934 11.5771 0.110276 106
707 0.069474 58.5696 5.08941 0.170208 44
708 0.166997 144.539 11.427 0.167639 65
709 0.0107828 9.45113 2.77402 0.38271 9
710 0.10478 88.8106 12.0776 0.193437 57
711 0.199561 170.744 13.2588 0.179863 54
712 0.275342 231.078 16.9301 0.129902 85
713 0.0848416 69.7977 6.05543 0.167009 44
714 0.237731 207.247 17.2532 0.141676 83
715 0.204587 173.059 21.5222 0.208245 65
716 0.289709 232.002 32.5681 0.186335 74
717 0.305611 254.651 17.8871 0.13327 83
718 0.0531313 46.3224 5.10833 0.20892 33
719 0.337065 278.935 13.1722 0.11121 117
720 0.267711 224.013 32.8008 0.229159 69
724 0.12845 108.708 11.5173 0.164501 64
725 0.289931 243.241 13.367 0.119423 92
726 0.299933 247.573 37.1631 0.181144 94
727 0.291128 241.133 13.1971 0.117236 98
728 0.174639 147.221 31.93 0.253949 64
729 0.178575 150.792 28.1754 0.224882 65
730 0.0529075 43.3605 5.74405 0.22811 28
732 0.0129773 10.8186 2.34843 0.345023 9
733 0.237983 208.671 27.2147 0.19622 84
734 0.0881746 79.3488 7.47279 0.18925 40
735 0.0540136 45.6079 5.1711 0.206448 31
737 0.230212 193.775 14.8961 0.125533 102
740 0.14144 120.563 11.6253 0.154915 68
741 0.0346356 27.1538 5.41464 0.273163 21
742 0.0328419 27.532 3.15513 0.253795 19
743 0.298794 252.415 16.768 0.146636 86
744 0.31946 268.243 25.8422 0.154703 93
745 0.385937 318.64 41.5977 0.192156 88
747 0.230705 194.573 27.8141 0.233799 61
749 0.0621391 52.811 6.26414 0.203047 36
751 0.0344645 30.9452 5.95359 0.282732 22
752 0.232514 194.625 9.72928 0.113476 88
753 0.0655733 52.9759 7.08635 0.194058 38
755 0.153429 128.134 25.5011 0.251966 56
756 0.127423 109.271 10.6781 0.15604 55
757 0.283683 232.656 16.16 0.160228 77
758 0.261048 218.739 10.6337 0.113889 99
760 0.177727 145.323 13.4396 0.170033 62
761 0.0351985 29.9009 2.84255 0.21129 24
763 0.396736 341.226 22.7383 0.152647 93
764 0.249575 215.41 52.4332 0.280532 66
765 0.0701431 57.1786 4.17964 0.157075 45
766 0.120692 102.422 11.0391 0.190047 53
767 0.146518 132.68 14.2891 0.182695 54
768 0.142252 123.979 42.1968 0.35127 59
769 0.248387 209.253 16.6158 0.144995 83
771 0.269564 232.666 23.0459 0.149474 91
772 0.252967 218.071 18.6716 0.162159 76
773 0.0760342 62.2175 6.42609 0.189775 38
774 0.346587 297.22 19.6213 0.124952 107
777 0.0361588 29.2885 2.80099 0.230051 23
