eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits
474 0.0549896 47.1155 3.97194 0.190577 33
475 0.0862984 70.0996 13.2658 0.313208 27
476 0.0325463 27.1225 4.67476 0.251611 22
477 0.0633315 51.2142 3.39201 0.152869 40
478 0.0459016 41.6826 5.6837 0.230742 26
479 0.0191026 15.5626 2.85989 0.309845 13
480 0.0471061 38.5749 2.64018 0.173939 35
481 0.0841804 75.3917 15.2903 0.264387 31
482 0.0659284 57.787 8.08691 0.241109 29
483 0.048586 42.281 7.55274 0.240762 28
484 0.0406406 34.289 4.72619 0.259243 21
485 0.0428032 34.0671 4.30765 0.248903 21
486 0.042798 36.971 2.49533 0.188665 28
487 0.0573606 50.4403 4.41055 0.180523 37
488 0.0428572 35.9773 3.66659 0.209911 27
490 0.0356962 30.4043 3.6506 0.227696 22
491 0.0551459 44.8944 5.59076 0.222108 28
492 0.0574176 48.9195 4.71026 0.187505 33
493 0.0453257 38.0867 3.55424 0.202419 30
494 0.0507386 41.1106 4.54446 0.20787 29
495 0.0446823 38.2799 4.25901 0.213305 26
496 0.0430907 37.414 3.40155 0.21821 25
497 0.048146 42.5066 10.6204 0.306649 25
498 0.0469962 38.5835 8.37083 0.304018 19
499 0.0433158 36.3909 5.09248 0.238456 25
500 0.0422612 35.5271 5.46271 0.261303 18
501 0.0597479 48.3345 6.31297 0.250413 22
502 0.0500677 40.5349 3.32979 0.185524 28
503 0.0551381 47.7589 5.22044 0.181569 34
504 0.0490207 41.1571 2.91105 0.193277 33
505 0.0382719 32.3888 3.55351 0.237255 20
506 0.0324943 28.3882 6.09322 0.309736 17
507 0.0407334 33.9155 8.27597 0.360046 17
508 0.0444189 36.5355 3.57613 0.217391 26
510 0.0514233 40.8779 7.00771 0.263966 21
511 0.0498699 40.5517 6.51243 0.23668 30
512 0.0703146 60.0928 19.6717 0.449396 13
513 0.0475414 40.2338 6.78796 0.236751 28
514 0.0430155 35.7566 3.93935 0.213706 27
515 0.0493809 41.7104 4.32623 0.200842 30
517 0.0687019 55.5695 6.48272 0.214556 28
518 0.0499343 42.0307 5.50574 0.228751 29
519 0.0515827 42.83 3.03422 0.188049 33
520 0.062833 52.6206 7.73736 0.217731 32
521 0.0499111 41.6371 2.71072 0.177841 31
522 0.0475134 39.8997 5.21034 0.207246 28
523 0.051667 42.3828 3.75585 0.191565 32
524 0.0696291 61.3942 7.48904 0.210969 30
525 0.0640441 52.2295 5.47079 0.234381 29
526 0.0297118 25.1582 3.61445 0.248871 21
527 0.0420649 34.8468 4.15629 0.219631 26
528 0.0659225 55.2125 6.60247 0.200816 41
529 0.0451976 38.7791 5.34018 0.243326 23
530 0.0515511 45.3075 3.827 0.183712 32
531 0.0525749 43.0744 4.93469 0.223449 26
532 0.0432409 36.6809 4.89824 0.258163 21
533 0.0475339 39.4432 3.97246 0.198446 29
534 0.04267 35.7544 3.66344 0.194973 30
535 0.0551603 47.1538 5.22497 0.21915 29
536 0.0353511 29.3761 2.82812 0.222102 23
538 0.0786487 65.5551 5.40563 0.190574 38
539 0.0644847 53.413 4.49379 0.195354 33
540 0.0358394 30.2924 3.96019 0.257676 20
541 0.0583416 48.6163 3.27886 0.174957 33
542 0.0351524 29.2103 3.5912 0.230137 21
543 0.0412042 33.8276 6.26954 0.27016 22
544 0.06958 57.0937 8.7959 0.266497 25
545 0.0765236 61.6803 3.57304 0.149344 41
546 0.0462349 37.351 3.96373 0.224591 24
547 0.0429346 36.4465 3.45342 0.234094 23
548 0.0385318 33.7561 9.90757 0.331699 21
550 0.0557753 45.2514 4.81815 0.187976 33
551 0.0477809 40.6796 3.71572 0.212904 27
552 0.0718121 61.5692 10.9948 0.247842 28
553 0.0414834 35.6689 4.40856 0.236387 26
554 0.0578796 48.871 5.5376 0.214343 30
555 0.0516276 45.9844 3.90162 0.189934 33
556 0.0251383 21.4051 3.44046 0.259191 19
557 0.0474635 41.0104 5.69275 0.280926 22
558 0.0369849 31.7714 4.61654 0.245345 26
559 0.0592475 48.6661 5.19761 0.205232 32
560 0.0375461 32.6366 2.75626 0.202567 25
561 0.0555916 44.6486 13.4087 0.389289 16
562 0.0394756 33.0656 3.69604 0.258828 20
563 0.0443439 38.1686 4.0631 0.210833 28
564 0.0429672 36.7526 3.63217 0.212954 24
